id,original_title,title,original_language,overview,tagline,release_date,poster_path,vote_count,vote_average,budget,revenue,runtime,backdrop_path,genre_names,collection,collection_name,profit,release_year,release_month,release_day,other_genres
694,The Shining,The Shining,en,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","He came as the caretaker, but this hotel had its own guardians - who'd been there a long time",1980-05-23,/nRj5511mZdTl4saWEPoj9QroTIu.jpg,14911,8.2,19000000,44781695,144,/AdKA2F1SzYPhSZdEbjH1Zh75UVQ.jpg,"['Horror', 'Thriller']",530064.0,The Shining Collection,25781695,1980,5,23,['Thriller']
501170,Doctor Sleep,Doctor Sleep,en,"Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.",Dare to go back.,2019-10-30,/p69QzIBbN06aTYqRRiCOY1emNBh.jpg,3486,7.2,45000000,72281712,152,/ap6Zc5NDOfbZaMhkRDyghbGeLf0.jpg,"['Fantasy', 'Horror', 'Thriller']",530064.0,The Shining Collection,27281712,2019,10,30,"['Fantasy', 'Thriller']"
27475,The Slumber Party Massacre,The Slumber Party Massacre,en,"An 18-year-old high school girl is left at home by her parents and decides to have a slumber party. Meanwhile, a mass murderer with a propensity for power tools has escaped from prison, and eventually makes his way to the party where the guests begin dropping off one by one.",Close your eyes for a second... and sleep forever.,1982-11-12,/rh65oDy8CNJoEAOf7oudhIt3DM6.jpg,233,5.6,220000,3600000,77,/8QCKFcPRVsQmbUaf2MxL3N50LsV.jpg,['Horror'],138971.0,The Slumber Party Massacre Collection,3380000,1982,11,12,
27767,Slumber Party Massacre III,Slumber Party Massacre III,en,"After a hard day of volleyball at the beach, a teen whose parents are away decides to have a slumber party with her girlfriends. Their boyfriends predictably show up to scare them, but a stranger from the beach is also seen lurking around the house. Soon the group begins experiencing an attrition problem.",It's Driller Time... And This Bits For You!,1990-09-07,/rtwbZi9dIs9pcTi2pQFtLxUUonB.jpg,66,5.0,350000,1242995,87,/buUfnQVzjvXXYrz2K4Ckm0ddQyL.jpg,"['Comedy', 'Horror']",138971.0,The Slumber Party Massacre Collection,892995,1990,9,7,['Comedy']
10665,The Strangers,The Strangers,en,"After returning from a wedding reception, a couple staying in an isolated vacation house receive a knock on the door in the mid-hours of the night. What ensues is a violent invasion by three strangers, their faces hidden behind masks. The couple find themselves in a violent struggle, in which they go beyond what either of them thought capable in order to survive.",Lock the door. Pretend you're safe.,2008-05-29,/9zsA2xafNMA8BQmpQLdppLIGYAE.jpg,2000,6.1,9000000,82391145,86,/y27M2hIwZRRvMAVEadFPP5hCPg1.jpg,"['Horror', 'Mystery', 'Thriller']",487765.0,The Strangers Collection,73391145,2008,5,29,"['Mystery', 'Thriller']"
371608,The Strangers: Prey at Night,The Strangers: Prey at Night,en,"A family’s road trip takes a dangerous turn when they arrive at a secluded mobile home park to stay with some relatives and find it mysteriously deserted. Under the cover of darkness, three masked killers pay them a visit to test the family’s every limit as they struggle to survive.",Let us prey.,2018-03-07,/vdxLpPsZkPZdFrREp7eSeSzcimj.jpg,1127,5.6,12500000,31039126,85,/huK2HB1JwVqCPqKBjhiaW4tbEuE.jpg,"['Horror', 'Thriller']",487765.0,The Strangers Collection,18539126,2018,3,7,['Thriller']
1091,The Thing,The Thing,en,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.",Man is The Warmest Place to Hide.,1982-06-25,/tzGY49kseSE9QAKk47uuDGwnSCu.jpg,5566,8.0,15000000,19629760,109,/3eb63ISwxqVaJbSbkgUNfrfB2NS.jpg,"['Horror', 'Mystery', 'Science Fiction']",479888.0,The Thing Collection,4629760,1982,6,25,"['Mystery', 'Science Fiction']"
60935,The Thing,The Thing,en,"When paleontologist Kate Lloyd travels to an isolated outpost in Antarctica for the expedition of a lifetime, she joins an international team that unearths a remarkable discovery. Their elation quickly turns to fear as they realize that their experiment has freed a mysterious being from its frozen prison. Paranoia spreads like an epidemic as a creature that can mimic anything it touches will pit human against human as it tries to survive and flourish in this spine-tingling thriller.",It's Not Human. Yet.,2011-10-12,/dmn2nVo8h7LMnk694JxCRIwK06p.jpg,2390,6.2,35000000,31505287,103,/lIubEsQJdgZjl9Eol025eX53lWk.jpg,"['Horror', 'Mystery', 'Science Fiction', 'Thriller']",479888.0,The Thing Collection,-3494713,2011,10,12,"['Mystery', 'Science Fiction', 'Thriller']"
15206,La terza madre,The Mother of Tears,it,"An ancient urn is found in a cemetery outside Rome. Once opened, it triggers a series of violent incidents: robberies, rapes and murders increase dramatically, while several mysterious, evil-looking young women coming from all over the world are gathering in the city. All these events are caused by the return of Mater Lacrimarum, the last of three powerful witches who have been spreading terror and death for centuries. Alone against an army of psychos and demons, Sarah Mandy, an art student who seems to have supernatural abilities of her own, is the only person left to prevent the Mother of Tears from destroying Rome.",What you see does not exist. What you cannot see is truth.,2007-09-06,/4hbIr5LpeI6UdaGviMaxStldln1.jpg,354,4.5,3500000,3119957,102,/tEJf6vcobkTzIk2cRJYvLKeUuLY.jpg,['Horror'],868672.0,The Three Mothers Collection,-380043,2007,9,6,
15239,The Toxic Avenger,The Toxic Avenger,en,Tromaville has a monstrous new hero. The Toxic Avenger is born when mop boy Melvin Junko falls into a vat of toxic waste. Now evildoers will have a lot to lose.,He was 98lbs. of solid nerd until he became...,1984-05-01,/qRbAr8yilTnXssmk52po7RyqZSH.jpg,411,6.3,475000,800000,82,/iU9MO6cRewA6NqMrDTHdqUA6Ubn.jpg,"['Comedy', 'Horror', 'Science Fiction']",32135.0,The Toxic Avenger Collection,325000,1984,5,1,"['Comedy', 'Science Fiction']"
